Date,Symbol,Order,Shares,Type
2006-01-18,IBM,BUY,500,LONG
2006-02-01,IBM,SELL,500,EXIT
2006-02-01,IBM,BUY,500,LONG
2006-02-15,IBM,SELL,500,EXIT
2006-02-15,IBM,BUY,500,LONG
2006-03-02,IBM,SELL,500,EXIT
2006-03-02,IBM,BUY,500,LONG
2006-03-16,IBM,SELL,500,EXIT
2006-03-16,IBM,BUY,500,LONG
2006-03-30,IBM,SELL,500,EXIT
2006-03-30,IBM,BUY,500,LONG
2006-04-13,IBM,SELL,500,EXIT
2006-04-13,IBM,BUY,500,LONG
2006-04-28,IBM,SELL,500,EXIT
2006-04-28,IBM,BUY,500,LONG
2006-05-12,IBM,SELL,500,EXIT
2006-05-12,IBM,BUY,500,LONG
2006-05-26,IBM,SELL,500,EXIT
2006-05-26,IBM,BUY,500,LONG
2006-06-12,IBM,SELL,500,EXIT
2006-06-12,IBM,BUY,500,LONG
2006-06-26,IBM,SELL,500,EXIT
2006-06-26,IBM,BUY,500,LONG
2006-07-11,IBM,SELL,500,EXIT
2006-07-11,IBM,BUY,500,LONG
2006-07-25,IBM,SELL,500,EXIT
2006-07-25,IBM,BUY,500,LONG
2006-08-08,IBM,SELL,500,EXIT
2006-08-08,IBM,BUY,500,LONG
2006-08-22,IBM,SELL,500,EXIT
2006-08-22,IBM,BUY,500,LONG
2006-09-06,IBM,SELL,500,EXIT
2006-09-06,IBM,BUY,500,LONG
2006-09-20,IBM,SELL,500,EXIT
2006-09-20,IBM,BUY,500,LONG
2006-10-04,IBM,SELL,500,EXIT
2006-10-04,IBM,BUY,500,LONG
2006-10-18,IBM,SELL,500,EXIT
2006-10-18,IBM,BUY,500,LONG
2006-11-01,IBM,SELL,500,EXIT
2006-11-01,IBM,BUY,500,LONG
2006-11-15,IBM,SELL,500,EXIT
2006-11-15,IBM,BUY,500,LONG
2006-11-30,IBM,SELL,500,EXIT
2006-11-30,IBM,BUY,500,LONG
2006-12-14,IBM,SELL,500,EXIT
2006-12-14,IBM,BUY,500,LONG
2006-12-29,IBM,SELL,500,EXIT
2006-12-29,IBM,BUY,500,LONG
2007-01-17,IBM,SELL,500,EXIT
2007-01-17,IBM,BUY,500,LONG
2007-01-31,IBM,SELL,500,EXIT
2007-01-31,IBM,BUY,500,LONG
2007-02-14,IBM,SELL,500,EXIT
2007-02-14,IBM,BUY,500,LONG
2007-03-01,IBM,SELL,500,EXIT
2007-03-01,IBM,BUY,500,LONG
2007-03-15,IBM,SELL,500,EXIT
2007-03-15,IBM,BUY,500,LONG
2007-03-29,IBM,SELL,500,EXIT
2007-03-29,IBM,BUY,500,LONG
2007-04-13,IBM,SELL,500,EXIT
2007-04-13,IBM,BUY,500,LONG
2007-04-27,IBM,SELL,500,EXIT
2007-04-27,IBM,BUY,500,LONG
2007-05-11,IBM,SELL,500,EXIT
2007-05-11,IBM,BUY,500,LONG
2007-05-25,IBM,SELL,500,EXIT
2007-05-25,IBM,BUY,500,LONG
2007-06-11,IBM,SELL,500,EXIT
2007-06-11,IBM,BUY,500,LONG
2007-06-25,IBM,SELL,500,EXIT
2007-06-25,IBM,BUY,500,LONG
2007-07-10,IBM,SELL,500,EXIT
2007-07-10,IBM,BUY,500,LONG
2007-07-24,IBM,SELL,500,EXIT
2007-07-24,IBM,BUY,500,LONG
2007-08-07,IBM,SELL,500,EXIT
2007-08-07,IBM,BUY,500,LONG
2007-08-21,IBM,SELL,500,EXIT
2007-08-21,IBM,BUY,500,LONG
2007-09-05,IBM,SELL,500,EXIT
2007-09-05,IBM,BUY,500,LONG
2007-09-19,IBM,SELL,500,EXIT
2007-09-19,IBM,BUY,500,LONG
2007-10-03,IBM,SELL,500,EXIT
2007-10-03,IBM,BUY,500,LONG
2007-10-17,IBM,SELL,500,EXIT
2007-10-17,IBM,BUY,500,LONG
2007-10-31,IBM,SELL,500,EXIT
2007-10-31,IBM,BUY,500,LONG
2007-11-14,IBM,SELL,500,EXIT
2007-11-14,IBM,BUY,500,LONG
2007-11-29,IBM,SELL,500,EXIT
2007-11-29,IBM,BUY,500,LONG
2007-12-13,IBM,SELL,500,EXIT
2007-12-13,IBM,BUY,500,LONG
2007-12-28,IBM,SELL,500,EXIT
2007-12-28,IBM,BUY,500,LONG
2008-01-14,IBM,SELL,500,EXIT
2008-01-14,IBM,BUY,500,LONG
2008-01-29,IBM,SELL,500,EXIT
2008-01-29,IBM,BUY,500,LONG
2008-02-12,IBM,SELL,500,EXIT
2008-02-12,IBM,BUY,500,LONG
2008-02-27,IBM,SELL,500,EXIT
2008-02-27,IBM,BUY,500,LONG
2008-03-12,IBM,SELL,500,EXIT
2008-03-12,IBM,BUY,500,LONG
2008-03-27,IBM,SELL,500,EXIT
2008-03-27,IBM,BUY,500,LONG
2008-04-10,IBM,SELL,500,EXIT
2008-04-10,IBM,BUY,500,LONG
2008-04-24,IBM,SELL,500,EXIT
2008-04-24,IBM,BUY,500,LONG
2008-05-08,IBM,SELL,500,EXIT
2008-05-08,IBM,BUY,500,LONG
2008-05-22,IBM,SELL,500,EXIT
2008-05-22,IBM,BUY,500,LONG
2008-06-06,IBM,SELL,500,EXIT
2008-06-06,IBM,BUY,500,LONG
2008-06-20,IBM,SELL,500,EXIT
2008-06-20,IBM,BUY,500,LONG
2008-07-07,IBM,SELL,500,EXIT
2008-07-07,IBM,BUY,500,LONG
2008-07-21,IBM,SELL,500,EXIT
2008-07-21,IBM,BUY,500,LONG
2008-08-04,IBM,SELL,500,EXIT
2008-08-04,IBM,BUY,500,LONG
2008-08-18,IBM,SELL,500,EXIT
2008-08-18,IBM,BUY,500,LONG
2008-09-02,IBM,SELL,500,EXIT
2008-09-02,IBM,BUY,500,LONG
2008-09-16,IBM,SELL,500,EXIT
2008-09-16,IBM,BUY,500,LONG
2008-09-30,IBM,SELL,500,EXIT
2008-09-30,IBM,BUY,500,LONG
2008-10-14,IBM,SELL,500,EXIT
2008-10-14,IBM,SELL,500,SHORT
2008-10-28,IBM,BUY,500,EXIT
2008-10-28,IBM,BUY,500,LONG
2008-11-11,IBM,SELL,500,EXIT
2008-11-11,IBM,SELL,500,SHORT
2008-11-25,IBM,BUY,500,EXIT
2008-11-25,IBM,BUY,500,LONG
2008-12-10,IBM,SELL,500,EXIT
2008-12-10,IBM,BUY,500,LONG
2008-12-24,IBM,SELL,500,EXIT
2008-12-24,IBM,SELL,500,SHORT
2009-01-09,IBM,BUY,500,EXIT
2009-01-09,IBM,BUY,500,LONG
2009-01-26,IBM,SELL,500,EXIT
2009-01-26,IBM,BUY,500,LONG
2009-02-09,IBM,SELL,500,EXIT
2009-02-09,IBM,BUY,500,LONG
2009-02-24,IBM,SELL,500,EXIT
2009-02-24,IBM,SELL,500,SHORT
2009-03-10,IBM,BUY,500,EXIT
2009-03-10,IBM,BUY,500,LONG
2009-03-24,IBM,SELL,500,EXIT
2009-03-24,IBM,BUY,500,LONG
2009-04-07,IBM,SELL,500,EXIT
2009-04-07,IBM,BUY,500,LONG
2009-04-22,IBM,SELL,500,EXIT
2009-04-22,IBM,BUY,500,LONG
2009-05-06,IBM,SELL,500,EXIT
2009-05-06,IBM,BUY,500,LONG
2009-05-20,IBM,SELL,500,EXIT
2009-05-20,IBM,BUY,500,LONG
2009-06-04,IBM,SELL,500,EXIT
2009-06-04,IBM,BUY,500,LONG
2009-06-18,IBM,SELL,500,EXIT
2009-06-18,IBM,BUY,500,LONG
2009-07-02,IBM,SELL,500,EXIT
2009-07-02,IBM,BUY,500,LONG
2009-07-17,IBM,SELL,500,EXIT
2009-07-17,IBM,BUY,500,LONG
2009-07-31,IBM,SELL,500,EXIT
2009-07-31,IBM,BUY,500,LONG
2009-08-14,IBM,SELL,500,EXIT
2009-08-14,IBM,BUY,500,LONG
2009-08-28,IBM,SELL,500,EXIT
2009-08-28,IBM,BUY,500,LONG
2009-09-14,IBM,SELL,500,EXIT
2009-09-14,IBM,BUY,500,LONG
2009-09-28,IBM,SELL,500,EXIT
2009-09-28,IBM,BUY,500,LONG
2009-10-12,IBM,SELL,500,EXIT
2009-10-12,IBM,BUY,500,LONG
2009-10-26,IBM,SELL,500,EXIT
2009-10-26,IBM,BUY,500,LONG
2009-11-09,IBM,SELL,500,EXIT
2009-11-09,IBM,BUY,500,LONG
2009-11-23,IBM,SELL,500,EXIT
2009-11-23,IBM,BUY,500,LONG
2009-12-08,IBM,SELL,500,EXIT
2009-12-08,IBM,BUY,500,LONG
2009-12-22,IBM,SELL,500,EXIT
2009-12-22,IBM,BUY,500,LONG
